,clusters,population,intersection,sub_population,sub_intersection
0,0,Blood,"['AIF1' 'C5AR1' 'CD14' 'CD163' 'CD63' 'CD68' 'CFP' 'CPVL' 'CSF1R' 'CTSB'
 'CXCL16' 'EREG' 'ETS2' 'FCGR3A' 'FCN1' 'FPR1' 'FTH1' 'FTL' 'GLUL' 'GPX1'
 'HMOX1' 'IFI30' 'IFITM3' 'IL1B' 'ITM2B' 'LRRC25' 'LYZ' 'MAFB' 'MNDA'
 'MS4A4A' 'MS4A6A' 'MS4A7' 'NAMPT' 'NINJ1' 'NPC2' 'PLAUR' 'PLIN2' 'PSAP'
 'RETN' 'RNASET2' 'RNF144B' 'S100A10' 'S100A11' 'S100A12' 'S100A4'
 'S100A8' 'S100A9' 'SAT1' 'SLC11A1' 'SOD2' 'SRGN' 'SULT1A1' 'THBS1'
 'TIMP1' 'TYMP' 'TYROBP' 'VAMP5' 'VCAN']",CD1C+_B dendritic cell,"['CD14' 'CD163' 'EREG' 'FCN1' 'FPR1' 'IL1B' 'LYZ' 'MNDA' 'RETN' 'S100A12'
 'S100A8' 'S100A9' 'VCAN']"
1,1,Kidney,"['ADAM28' 'AFF3' 'ARHGAP24' 'ATRX' 'BANK1' 'BCL11A' 'CCDC50' 'CD22'
 'CD79A' 'CD83' 'COBLL1' 'CR1' 'CR2' 'CTNNB1' 'CXCR4' 'DDX3X' 'FCRL5'
 'FGD2' 'IGHM' 'KCNJ15' 'KLF2' 'LY9' 'MS4A1' 'MTRNR2L8' 'ORAI2' 'PARP14'
 'PARP15' 'PHACTR1' 'PNISR' 'PRDM2' 'RAB3B' 'RALGPS2' 'RIC3' 'ST6GAL1'
 'TCF4' 'TNFRSF13B' 'TNFRSF13C']",Cancer stem cell,['CXCR4']
2,2,Liver,"['ARL4C' 'CBLB' 'CCL5' 'CD3E' 'CD7' 'CREM' 'CST7' 'CTSW' 'FGFBP2' 'GNLY'
 'GPR171' 'GZMA' 'GZMB' 'GZMM' 'ID2' 'IL32' 'ITM2A' 'KLRB1' 'LYAR' 'MYBL1'
 'NFKBIA' 'NKG7' 'PARP8' 'PRDM1' 'PRF1' 'PTPN7' 'PTPRC' 'RORA' 'RUNX3'
 'SH2D2A' 'SPOCK2' 'SPON2' 'SRGN' 'STAT3' 'SYNE2' 'TSPYL2']",CD4+ cytotoxic T cell,"['ARL4C' 'CCL5' 'CST7' 'CTSW' 'FGFBP2' 'GNLY' 'GZMA' 'GZMB' 'GZMM' 'LYAR'
 'MYBL1' 'NKG7' 'PRF1' 'RUNX3' 'SPON2' 'SYNE2']"
3,3,Kidney,"['AFF3' 'AHSP' 'ALAS2' 'BANK1' 'BCL11A' 'BHLHE41' 'CA1' 'CA2' 'CBFA2T3'
 'CCDC50' 'CCNB1IP1' 'CD22' 'CD74' 'CD79A' 'CD79B' 'CD83' 'CDCA7L'
 'COBLL1' 'DAPP1' 'DERL3' 'EBF1' 'FCER2' 'FKBP11' 'GAPT' 'GPR18' 'GPR183'
 'HBB' 'IGHG3' 'IGHM' 'IGKC' 'JCHAIN' 'KCNN4' 'LY9' 'MS4A1' 'MYBL2' 'MYC'
 'MZB1' 'ORAI2' 'OSBPL10' 'PAWR' 'QRSL1' 'RRAS2' 'SHISA8' 'SLC2A11'
 'SLC4A1' 'SP140' 'SPIB' 'SSPN' 'STAP1' 'STRBP' 'TCL1A' 'TFEB' 'TLR10'
 'TMEM156' 'TNFRSF13B' 'TNFRSF13C' 'TXNDC5']",Erythroblast,['AHSP' 'ALAS2' 'CA1' 'HBB']
